<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
EURUSD,20090901,00:00:00,1.4329,1.4176,1.4375,1.4215
EURUSD,20090902,00:00:00,1.4215,1.4189,1.4292,1.4260
EURUSD,20090903,00:00:00,1.4260,1.4234,1.4345,1.4255
EURUSD,20090904,00:00:00,1.4256,1.4190,1.4324,1.4301
EURUSD,20090907,00:00:00,1.4307,1.4300,1.4358,1.4335
EURUSD,20090908,00:00:00,1.4336,1.4326,1.4532,1.4492
EURUSD,20090909,00:00:00,1.4492,1.4465,1.4598,1.4565
EURUSD,20090910,00:00:00,1.4564,1.4501,1.4610,1.4577
EURUSD,20090911,00:00:00,1.4577,1.4553,1.4631,1.4579
EURUSD,20090914,00:00:00,1.4596,1.4514,1.4649,1.4625
EURUSD,20090915,00:00:00,1.4625,1.4560,1.4683,1.4661
EURUSD,20090916,00:00:00,1.4661,1.4642,1.4734,1.4706
EURUSD,20090917,00:00:00,1.4707,1.4686,1.4763,1.4740
EURUSD,20090918,00:00:00,1.4740,1.4646,1.4742,1.4700
EURUSD,20090921,00:00:00,1.4688,1.4609,1.4710,1.4674
EURUSD,20090922,00:00:00,1.4674,1.4673,1.4818,1.4787
EURUSD,20090923,00:00:00,1.4787,1.4692,1.4841,1.4693
EURUSD,20090924,00:00:00,1.4692,1.4626,1.4799,1.4659
EURUSD,20090925,00:00:00,1.4659,1.4613,1.4721,1.4667
EURUSD,20090928,00:00:00,1.4702,1.4562,1.4718,1.4613
EURUSD,20090929,00:00:00,1.4614,1.4525,1.4643,1.4582
EURUSD,20090930,00:00:00,1.4582,1.4573,1.4671,1.4635
EURUSD,20091001,00:00:00,1.4636,1.4516,1.4666,1.4536
EURUSD,20091002,00:00:00,1.4537,1.4479,1.4645,1.4570
EURUSD,20091005,00:00:00,1.4587,1.4578,1.4667,1.4647
EURUSD,20091006,00:00:00,1.4647,1.4644,1.4760,1.4721
EURUSD,20091007,00:00:00,1.4721,1.4649,1.4734,1.4685
EURUSD,20091008,00:00:00,1.4686,1.4681,1.4814,1.4791
EURUSD,20091009,00:00:00,1.4791,1.4672,1.4792,1.4705
EURUSD,20091012,00:00:00,1.4718,1.4675,1.4810,1.4775
EURUSD,20091013,00:00:00,1.4774,1.4760,1.4873,1.4851
EURUSD,20091014,00:00:00,1.4851,1.4837,1.4943,1.4932
EURUSD,20091015,00:00:00,1.4932,1.4842,1.4964,1.4935
EURUSD,20091016,00:00:00,1.4934,1.4847,1.4965,1.4892
EURUSD,20091019,00:00:00,1.4892,1.4826,1.4978,1.4964
EURUSD,20091020,00:00:00,1.4964,1.4880,1.4991,1.4933
EURUSD,20091021,00:00:00,1.4934,1.4886,1.5043,1.5006
EURUSD,20091022,00:00:00,1.5006,1.4942,1.5036,1.5024
EURUSD,20091023,00:00:00,1.5026,1.4984,1.5058,1.4993
EURUSD,20091026,00:00:00,1.5006,1.4843,1.5060,1.4864
EURUSD,20091027,00:00:00,1.4863,1.4769,1.4924,1.4806
EURUSD,20091028,00:00:00,1.4806,1.4690,1.4838,1.4712
EURUSD,20091029,00:00:00,1.4713,1.4682,1.4856,1.4837
EURUSD,20091030,00:00:00,1.4836,1.4701,1.4856,1.4719
EURUSD,20091102,00:00:00,1.4726,1.4701,1.4842,1.4770
EURUSD,20091103,00:00:00,1.4770,1.4624,1.4808,1.4715
EURUSD,20091104,00:00:00,1.4715,1.4700,1.4905,1.4875
EURUSD,20091105,00:00:00,1.4876,1.4809,1.4914,1.4872
EURUSD,20091106,00:00:00,1.4871,1.4812,1.4911,1.4844
EURUSD,20091109,00:00:00,1.4870,1.4851,1.5018,1.4993
EURUSD,20091110,00:00:00,1.4993,1.4937,1.5017,1.4983
EURUSD,20091111,00:00:00,1.4982,1.4951,1.5045,1.4982
EURUSD,20091112,00:00:00,1.4982,1.4820,1.5013,1.4843
EURUSD,20091113,00:00:00,1.4842,1.4823,1.4935,1.4918
EURUSD,20091116,00:00:00,1.4922,1.4879,1.5012,1.4963
EURUSD,20091117,00:00:00,1.4962,1.4806,1.4997,1.4858
EURUSD,20091118,00:00:00,1.4859,1.4858,1.4988,1.4958
EURUSD,20091119,00:00:00,1.4959,1.4841,1.4961,1.4914
EURUSD,20091120,00:00:00,1.4914,1.4799,1.4932,1.4859
EURUSD,20091123,00:00:00,1.4850,1.4848,1.4997,1.4959
EURUSD,20091124,00:00:00,1.4959,1.4887,1.4986,1.4961
EURUSD,20091125,00:00:00,1.4961,1.4953,1.5143,1.5134
EURUSD,20091126,00:00:00,1.5135,1.4958,1.5139,1.5006
EURUSD,20091127,00:00:00,1.5006,1.4827,1.5008,1.4965
EURUSD,20091130,00:00:00,1.5009,1.4962,1.5081,1.5005
EURUSD,20091201,00:00:00,1.5005,1.4970,1.5115,1.5074
EURUSD,20091202,00:00:00,1.5073,1.5030,1.5107,1.5044
EURUSD,20091203,00:00:00,1.5045,1.5036,1.5137,1.5052
EURUSD,20091204,00:00:00,1.5051,1.4820,1.5088,1.4842
EURUSD,20091207,00:00:00,1.4867,1.4754,1.4902,1.4826
EURUSD,20091208,00:00:00,1.4825,1.4679,1.4865,1.4702
EURUSD,20091209,00:00:00,1.4702,1.4667,1.4779,1.4736
EURUSD,20091210,00:00:00,1.4736,1.4682,1.4758,1.4730
EURUSD,20091211,00:00:00,1.4730,1.4584,1.4774,1.4626
EURUSD,20091214,00:00:00,1.4610,1.4603,1.4683,1.4648
EURUSD,20091215,00:00:00,1.4647,1.4502,1.4657,1.4534
EURUSD,20091216,00:00:00,1.4534,1.4504,1.4587,1.4528
EURUSD,20091217,00:00:00,1.4528,1.4302,1.4531,1.4347
EURUSD,20091218,00:00:00,1.4347,1.4260,1.4409,1.4333
EURUSD,20091221,00:00:00,1.4306,1.4264,1.4370,1.4272
EURUSD,20091222,00:00:00,1.4272,1.4216,1.4329,1.4251
EURUSD,20091223,00:00:00,1.4251,1.4232,1.4364,1.4327
EURUSD,20091224,00:00:00,1.4327,1.4326,1.4415,1.4353
EURUSD,20091228,00:00:00,1.4373,1.4353,1.4412,1.4372
EURUSD,20091229,00:00:00,1.4372,1.4330,1.4455,1.4347
EURUSD,20091230,00:00:00,1.4348,1.4272,1.4358,1.4335
EURUSD,20091231,00:00:00,1.4335,1.4305,1.4438,1.4331
EURUSD,20100104,00:00:00,1.4327,1.4255,1.4453,1.4413
EURUSD,20100105,00:00:00,1.4412,1.4346,1.4481,1.4359
EURUSD,20100106,00:00:00,1.4360,1.4282,1.4432,1.4397
EURUSD,20100107,00:00:00,1.4398,1.4298,1.4442,1.4302
EURUSD,20100108,00:00:00,1.4303,1.4262,1.4436,1.4413
EURUSD,20100111,00:00:00,1.4409,1.4409,1.4553,1.4511
EURUSD,20100112,00:00:00,1.4511,1.4452,1.4543,1.4489
EURUSD,20100113,00:00:00,1.4489,1.4454,1.4577,1.4498
EURUSD,20100114,00:00:00,1.4497,1.4445,1.4553,1.4496
EURUSD,20100115,00:00:00,1.4497,1.4335,1.4509,1.4377
EURUSD,20100118,00:00:00,1.4346,1.4333,1.4398,1.4383
EURUSD,20100119,00:00:00,1.4382,1.4250,1.4411,1.4288
EURUSD,20100120,00:00:00,1.4288,1.4079,1.4288,1.4106
EURUSD,20100121,00:00:00,1.4105,1.4028,1.4140,1.4083
